feature,coef,std_err,t_stat,p_value,significant
const,0.5624538461538463,0.005752495881358002,97.77561909719557,4.909661315516775e-37,True
ghi_annual,0.09075780062718153,0.007461551550454791,12.163395242059236,1.0820476566037618e-12,True
far,-0.03086781151394226,0.0066804894866467806,-4.620591286857352,7.821378130242712e-05,True
shading_factor,0.02965776709182221,0.00866203343571701,3.423880467781553,0.0019204008311468344,True
height_mean,0.012753897168032553,0.00838658744387505,1.520749321864767,0.13953631192398333,False
elec_price,0.010963933163752826,0.011948107317336115,0.9176292840829023,0.3666500309292573,False
cz_mild,-0.007485941009757597,0.009563121092841477,-0.782792661211959,0.440319637684915,False
deployable_mw,0.007043572680439328,0.006803293891232587,1.035318008166072,0.3093797892762277,False
latitude,0.00676711934582952,0.01409459368630109,0.48012163361663013,0.634870576361487,False
cz_hscw,-0.006349356766126109,0.007255219444404866,-0.8751433109335726,0.38894144799043817,False
cz_severe_cold,0.000246652197438455,0.008483004207771613,0.02907604327397212,0.9770102003075487,False
