feature,lasso_coef,selected
ghi_annual,0.08952402047961344,True
shading_factor,0.030971644565290956,True
far,-0.02932388297189519,True
height_mean,0.011275102654273955,True
cz_mild,-0.008704122737037195,True
elec_price,0.007570790196536981,True
cz_hscw,-0.006412972585772225,True
deployable_mw,0.0057782984074371425,True
latitude,0.0034826057138098022,True
cz_severe_cold,0.0005622072468047705,True
