alpha,object,fdsi_score,rank
0.4,Hangzhou,0.4068,36
0.4,Hefei,0.5157,31
0.4,Nanchang,0.5192,29
0.4,Ningbo,0.4445,33
0.4,Shanghai,0.4417,34
0.4,Chongqing,0.1753,41
0.4,Taipei,0.2939,40
0.4,Shenzhen,0.5734,14
0.4,Guangzhou,0.5873,12
0.4,Xiamen,0.6251,10
0.4,Fuzhou,0.4081,35
0.4,Nanning,0.52,28
0.4,Haikou,0.6388,5
0.4,Hong Kong,0.4606,32
0.4,Kunming,0.6407,4
0.4,Guiyang,0.3195,39
0.4,Lhasa,0.7455,1
0.5,Harbin,0.565,16
0.5,Changchun,0.5701,15
0.5,Shenyang,0.5515,19
0.5,Dalian,0.5472,22
0.5,Hohhot,0.6261,9
0.5,Tangshan,0.5408,23
0.5,Urumqi,0.5311,26
0.5,Beijing,0.6279,8
0.5,Tianjin,0.5483,21
0.5,Jinan,0.554,18
0.5,Xian,0.5961,11
0.5,Taiyuan,0.5247,27
0.5,Shijiazhuang,0.6382,5
0.5,Zhengzhou,0.5488,20
0.5,Qingdao,0.5327,25
0.5,Lanzhou,0.6479,3
0.5,Yinchuan,0.7224,2
0.5,Xining,0.6345,7
0.5,Wuxi,0.533,24
0.5,Suzhou,0.375,37
0.5,Changsha,0.5612,17
0.5,Wuhan,0.585,13
0.5,Nanjing,0.5179,30
0.5,Chengdu,0.3207,39
0.5,Hangzhou,0.4068,35
0.5,Hefei,0.5147,31
0.5,Nanchang,0.5179,29
0.5,Ningbo,0.444,33
0.5,Shanghai,0.4408,34
0.5,Chongqing,0.1752,41
0.5,Taipei,0.2926,40
0.5,Shenzhen,0.5737,14
0.5,Guangzhou,0.589,12
0.5,Xiamen,0.6261,10
0.5,Fuzhou,0.4061,36
0.5,Nanning,0.5186,28
0.5,Haikou,0.6368,6
0.5,Hong Kong,0.4575,32
0.5,Kunming,0.6408,4
0.5,Guiyang,0.3218,38
0.5,Lhasa,0.7422,1
0.6,Harbin,0.5672,16
0.6,Changchun,0.5705,15
0.6,Shenyang,0.5514,19
0.6,Dalian,0.5462,22
0.6,Hohhot,0.6265,10
0.6,Tangshan,0.5393,23
0.6,Urumqi,0.5276,26
0.6,Beijing,0.6288,8
0.6,Tianjin,0.5469,21
0.6,Jinan,0.5564,18
0.6,Xian,0.5944,11
0.6,Taiyuan,0.5232,27
0.6,Shijiazhuang,0.6392,5
0.6,Zhengzhou,0.5476,20
0.6,Qingdao,0.5302,25
0.6,Lanzhou,0.6463,3
0.6,Yinchuan,0.7211,2
0.6,Xining,0.6335,7
0.6,Wuxi,0.5322,24
0.6,Suzhou,0.372,37
0.6,Changsha,0.5619,17
0.6,Wuhan,0.5853,13
0.6,Nanjing,0.5196,28
0.6,Chengdu,0.3197,39
0.6,Hangzhou,0.4068,35
0.6,Hefei,0.5137,31
0.6,Nanchang,0.5167,30
0.6,Ningbo,0.4434,33
0.6,Shanghai,0.4399,34
0.6,Chongqing,0.1752,41
0.6,Taipei,0.2913,40
0.6,Shenzhen,0.574,14
0.6,Guangzhou,0.5907,12
0.6,Xiamen,0.627,9
0.6,Fuzhou,0.404,36
0.6,Nanning,0.5172,29
