city,name_en_morph,name_cn_morph,climate_zone_morph,status,n_buildings_analyzed,city_typology,dominant_type,dominant_pct,elapsed_s,n_buildings,study_area_km2,d2_1_height_mean,d2_1_height_median,d2_1_height_std,d2_2_building_density,d2_3_roof_area_mean,d2_3_roof_area_median,d2_3_roof_area_total_m2,d2_4_compactness_mean,d2_4_compactness_median,d2_5_far,d3_1_roof_utilization_mean,d3_2_shading_factor_mean,d3_3_effective_area_mean_m2,d3_4_total_deployable_m2,d3_4_total_deployable_mw,d1_1_ghi_annual_kwh,d1_2_temp_annual_c,d1_3_ghi_cv_seasonal,d1_4_sunshine_hours,d4_1_lcoe_cny_kwh,d4_2_pbt_years,d4_3_npv_positive,d4_npv_cny_kwp,d4_annual_revenue_cny_kwp,mc_n_samples,mc_elapsed_s,mc_yield_mean,mc_yield_std,mc_yield_p05,mc_yield_p50,mc_yield_p95,d5_1_yield_cv,d5_2_pbt_ci95_width,d5_2_pbt_p025,d5_2_pbt_p975,d5_3_prob_pbt_le_15yr,mc_lcoe_mean,mc_lcoe_std,mc_lcoe_p05,mc_lcoe_p95,sobol_n_samples,sobol_elapsed_s,sobol_yield_S1_ghi_factor,sobol_yield_ST_ghi_factor,sobol_yield_S1_module_efficiency,sobol_yield_ST_module_efficiency,sobol_yield_S1_system_losses,sobol_yield_ST_system_losses,sobol_yield_S1_pv_cost,sobol_yield_ST_pv_cost,sobol_yield_S1_elec_price_factor,sobol_yield_ST_elec_price_factor,sobol_pbt_S1_ghi_factor,sobol_pbt_ST_ghi_factor,sobol_pbt_S1_module_efficiency,sobol_pbt_ST_module_efficiency,sobol_pbt_S1_system_losses,sobol_pbt_ST_system_losses,sobol_pbt_S1_pv_cost,sobol_pbt_ST_pv_cost,sobol_pbt_S1_elec_price_factor,sobol_pbt_ST_elec_price_factor,d5_4_interaction_ratio_yield,d5_4_interaction_ratio_pbt,d5_5_dominant_factor_yield,d5_5_dominant_S1_yield,d5_5_dominant_factor_pbt,d5_5_dominant_S1_pbt,method,specific_yield_kwh_kwp,energy_per_m2_kwh,name_en_energy,name_cn_energy,climate_zone_energy,d3_total_generation_gwh,d3_self_sufficiency_ratio,total_elapsed_s,sobol_yield_S1_annual_degradation,sobol_yield_ST_annual_degradation,sobol_pbt_S1_annual_degradation,sobol_pbt_ST_annual_degradation,city_order,score_D1_Climate,score_D2_Morphology,score_D3_Technical,score_D4_Economic,score_D5_Uncertainty,fdsi_score
xian,Xian,西安,cold,OK,7968,mid_rise_dominant,mid_rise,0.993,0,7968,53.851,17.05,17.0,2.21,0.1398,944.8,454.4,7528425.0,2.315,1.877,0.843,0.572,0.999,640.1,5100161.0,1020.03,1581.6,14.7,0.3244,3318.0,0.2057,4.66,True,4809.0,673.6,10000.0,0.2,1305.8,91.4,1159.1,1302.9,1458.7,0.07,2.76,3.95,6.71,1.0,0.2283,0.0279,0.1866,0.2776,4096.0,0.5,0.6474,0.6499,0.2876,0.29,0.0622,0.0629,0.0,0.0,0.0,0.0,0.2393,0.2461,0.1056,0.1089,0.0225,0.0235,0.5535,0.5629,0.0671,0.0696,0.0055,0.0228,ghi_factor,0.6474,pv_cost,0.5535,simplified,1352.7,270.5,Xian,西安,cold,1379.79,1.1518,0.7,0.0,0.0,0.0,0.0,10,0.4793679302976859,0.21660678642714568,0.71359940872136,0.6205667848358772,0.7851317380564974,0.5845559457919374
taiyuan,Taiyuan,太原,cold,OK,3575,unknown,unknown,0.0,0,3575,90.351,18.03,18.0,7.81,0.0286,723.5,568.3,2586601.0,2.133,1.926,0.23,0.647,0.8,428.4,1531627.0,306.33,1564.4,10.5,0.2789,3358.0,0.205,5.14,True,4076.0,613.4,10000.0,0.2,1291.6,90.4,1146.5,1288.8,1442.8,0.07,3.22,4.39,7.61,1.0,0.2293,0.0279,0.1875,0.2788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1357.1,271.4,Taiyuan,太原,cold,415.72,0.9551,0.2,,,,,11,0.5376362604488854,0.5447428738029559,0.39701203268276436,0.5477174965222353,0.6724791707164302,0.5472957269093196
shijiazhuang,Shijiazhuang,石家庄,cold,OK,1060,unknown,unknown,0.0,0,1060,62.47,27.55,27.0,18.74,0.0281,1654.7,795.6,1754010.0,2.04,1.88,0.248,0.658,0.876,922.9,978228.0,195.65,1644.5,14.1,0.3237,3390.0,0.1974,4.35,True,5376.0,720.3,10000.0,0.2,1357.7,95.0,1205.2,1354.7,1516.7,0.07,2.66,3.67,6.33,1.0,0.2195,0.0268,0.1795,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1409.6,281.9,Shijiazhuang,石家庄,cold,275.79,0.6115,0.2,,,,,12,0.5178325354867381,0.9183520599250936,0.5465230907304077,0.6974451517502078,0.760769198578803,0.6936664846445428
zhengzhou,Zhengzhou,郑州,cold,OK,10271,unknown,unknown,0.0,0,10271,182.75,19.55,18.0,10.82,0.049,872.2,578.0,8957901.0,2.191,1.979,0.435,0.649,0.819,523.8,5380220.0,1076.04,1573.4,15.9,0.3407,3248.0,0.2076,4.16,True,5744.0,750.5,10000.0,0.2,1299.0,90.9,1153.1,1296.2,1451.2,0.07,2.53,3.49,6.02,1.0,0.2295,0.028,0.1876,0.279,4096.0,0.5,0.6474,0.6499,0.2876,0.29,0.0622,0.0629,0.0,0.0,0.0,0.0,0.2302,0.2369,0.1016,0.1049,0.0217,0.0226,0.5328,0.5424,0.1012,0.1048,0.0055,0.024,ghi_factor,0.6474,pv_cost,0.5328,simplified,1340.2,268.0,Zhengzhou,郑州,cold,1442.11,0.8822,0.7,0.0,0.0,0.0,0.0,13,0.44995189490929205,0.5276996568660433,0.41853877829487574,0.6924608898376615,0.7468980262802652,0.5730642256123373
qingdao,Qingdao,青岛,cold,OK,5124,unknown,unknown,0.0,0,5124,43.613,15.72,12.0,15.75,0.0653,555.7,320.2,2847443.0,1.719,1.529,0.526,0.638,0.736,310.5,1590767.0,318.15,1678.7,13.7,0.3032,3464.0,0.1931,3.96,True,6200.0,788.1,10000.0,0.2,1385.9,107.3,1213.6,1383.0,1566.4,0.0775,2.76,3.23,5.99,1.0,0.2153,0.0273,0.1748,0.2635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1440.7,288.1,Qingdao,青岛,cold,458.36,1.0972,0.2,,,,,14,0.5690354089880337,0.3403036623382449,0.33858265718021807,0.773229438450509,0.742017173697056,0.5486250128441543
lanzhou,Lanzhou,兰州,cold,OK,13051,unknown,unknown,0.0,0,13051,274.141,21.08,18.0,10.93,0.043,903.7,656.5,11793809.0,2.04,1.83,0.38,0.652,0.836,543.3,7090122.0,1418.02,1755.9,9.1,0.2728,3513.0,0.1818,4.3,True,5474.0,728.4,10000.0,0.2,1449.7,91.7,1302.2,1447.1,1603.5,0.0632,2.38,3.79,6.17,1.0,0.2034,0.024,0.1674,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1530.2,306.0,Lanzhou,兰州,cold,2169.85,1.007,0.2,,,,,15,0.6607172501109544,0.5627464172778041,0.546088565905639,0.7584518764971484,0.8270453600509731,0.6758239771749559
yinchuan,Yinchuan,银川,cold,OK,1261,unknown,unknown,0.0,0,1261,54.592,23.31,27.0,7.82,0.0321,1391.3,825.1,1754485.0,2.076,1.928,0.305,0.658,0.88,868.4,1095005.0,219.0,1779.1,10.5,0.3145,3545.0,0.1803,4.62,True,4875.0,679.1,10000.0,0.2,1468.8,92.9,1319.4,1466.2,1624.6,0.0632,2.56,4.05,6.62,1.0,0.2008,0.0237,0.1652,0.2428,4096.0,0.5,0.5409,0.5429,0.3755,0.3776,0.0812,0.0819,0.0,0.0,0.0,0.0,0.1753,0.18,0.1215,0.1249,0.026,0.0269,0.6379,0.6456,0.0301,0.0311,0.0048,0.0175,ghi_factor,0.5409,pv_cost,0.6379,simplified,1543.4,308.7,Yinchuan,银川,cold,338.0,0.9183,0.7,0.0,0.0,0.0,0.0,16,0.611738253985925,0.7982210859180516,0.6235700275334422,0.713407611122864,0.9290533272856866,0.7532619939903749
xining,Xining,西宁,cold,OK,1418,unknown,unknown,0.0,0,1418,41.345,20.8,18.0,7.79,0.0361,1051.4,678.3,1490864.0,1.985,1.825,0.325,0.653,0.851,647.3,917874.0,183.57,1754.8,6.4,0.2585,3523.0,0.1803,5.28,True,3897.0,598.6,10000.0,0.2,1448.8,91.6,1301.4,1446.2,1602.5,0.0632,2.99,4.69,7.68,1.0,0.2035,0.024,0.1675,0.2462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1542.9,308.6,Xining,西宁,cold,283.23,1.1417,0.2,,,,,17,0.6815910465882917,0.6475511897553208,0.5768317048804853,0.609959335260795,0.7426580082723169,0.6598766396985766
wuxi,Wuxi,无锡,cold,OK,2358,unknown,unknown,0.0,0,2358,79.819,18.21,18.0,10.16,0.0284,960.0,499.9,2263586.0,1.823,1.672,0.262,0.647,0.805,589.2,1389384.0,277.88,1530.3,17.6,0.2577,3213.0,0.2146,4.33,True,5412.0,723.3,10000.0,0.2,1263.4,107.9,1091.0,1260.5,1444.3,0.0854,3.09,3.46,6.55,1.0,0.2373,0.0313,0.1911,0.2928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1296.2,259.2,Wuxi,无锡,cold,360.19,0.8738,0.2,,,,,18,0.5492704322399466,0.6399031151180784,0.37287407714236986,0.64195690777032,0.6570207374889306,0.5701841932141027
suzhou,Suzhou,苏州,cold,OK,13337,unknown,unknown,0.0,0,13337,76.389,12.56,12.0,7.21,0.0702,402.2,264.4,5363654.0,1.69,1.511,0.482,0.63,0.693,224.8,2997719.0,599.54,1388.3,16.8,0.2724,3012.0,0.236,4.78,True,4617.0,657.9,10000.0,0.2,1146.2,97.9,989.8,1143.5,1310.3,0.0854,3.44,3.83,7.27,1.0,0.2616,0.0345,0.2106,0.3228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1179.0,235.8,Suzhou,苏州,cold,706.86,1.0492,0.2,,,,,19,0.44268342985192854,0.2606741573033708,0.13151381139186,0.4984860237663284,0.5771263553208492,0.3836056145894091
