city,name_en_morph,name_cn_morph,climate_zone_morph,status,n_buildings_analyzed,city_typology,dominant_type,dominant_pct,elapsed_s,n_buildings,study_area_km2,d2_1_height_mean,d2_1_height_median,d2_1_height_std,d2_2_building_density,d2_3_roof_area_mean,d2_3_roof_area_median,d2_3_roof_area_total_m2,d2_4_compactness_mean,d2_4_compactness_median,d2_5_far,d3_1_roof_utilization_mean,d3_2_shading_factor_mean,d3_3_effective_area_mean_m2,d3_4_total_deployable_m2,d3_4_total_deployable_mw,d1_1_ghi_annual_kwh,d1_2_temp_annual_c,d1_3_ghi_cv_seasonal,d1_4_sunshine_hours,d4_1_lcoe_cny_kwh,d4_2_pbt_years,d4_3_npv_positive,d4_npv_cny_kwp,d4_annual_revenue_cny_kwp,mc_n_samples,mc_elapsed_s,mc_yield_mean,mc_yield_std,mc_yield_p05,mc_yield_p50,mc_yield_p95,d5_1_yield_cv,d5_2_pbt_ci95_width,d5_2_pbt_p025,d5_2_pbt_p975,d5_3_prob_pbt_le_15yr,mc_lcoe_mean,mc_lcoe_std,mc_lcoe_p05,mc_lcoe_p95,sobol_n_samples,sobol_elapsed_s,sobol_yield_S1_ghi_factor,sobol_yield_ST_ghi_factor,sobol_yield_S1_module_efficiency,sobol_yield_ST_module_efficiency,sobol_yield_S1_system_losses,sobol_yield_ST_system_losses,sobol_yield_S1_pv_cost,sobol_yield_ST_pv_cost,sobol_yield_S1_elec_price_factor,sobol_yield_ST_elec_price_factor,sobol_pbt_S1_ghi_factor,sobol_pbt_ST_ghi_factor,sobol_pbt_S1_module_efficiency,sobol_pbt_ST_module_efficiency,sobol_pbt_S1_system_losses,sobol_pbt_ST_system_losses,sobol_pbt_S1_pv_cost,sobol_pbt_ST_pv_cost,sobol_pbt_S1_elec_price_factor,sobol_pbt_ST_elec_price_factor,d5_4_interaction_ratio_yield,d5_4_interaction_ratio_pbt,d5_5_dominant_factor_yield,d5_5_dominant_S1_yield,d5_5_dominant_factor_pbt,d5_5_dominant_S1_pbt,method,specific_yield_kwh_kwp,energy_per_m2_kwh,name_en_energy,name_cn_energy,climate_zone_energy,d3_total_generation_gwh,d3_self_sufficiency_ratio,total_elapsed_s,sobol_yield_S1_annual_degradation,sobol_yield_ST_annual_degradation,sobol_pbt_S1_annual_degradation,sobol_pbt_ST_annual_degradation,city_order,score_D1_Climate,score_D2_Morphology,score_D3_Technical,score_D4_Economic,score_D5_Uncertainty,fdsi_score
changsha,Changsha,长沙,hscw,OK,3242,mid_high_dominant,mid_high,0.961,0,3242,432.319,22.01,21.0,8.55,0.0063,835.5,685.9,2708735.0,2.015,1.857,0.046,0.639,0.999,558.0,1809194.0,361.84,1378.5,19.0,0.2649,3035.0,0.2394,4.59,True,4926.0,683.3,10000.0,0.2,1138.1,106.8,967.4,1135.3,1316.6,0.0938,3.08,3.71,6.79,1.0,0.2656,0.0367,0.2119,0.3304,4096.0,0.5,0.8229,0.8261,0.1428,0.1457,0.0309,0.0316,0.0,0.0,0.0,0.0,0.4367,0.4498,0.0735,0.0767,0.0155,0.0165,0.3833,0.3962,0.0728,0.0766,0.0068,0.0336,ghi_factor,0.8229,ghi_factor,0.4367,simplified,1162.1,232.4,Changsha,长沙,hscw,420.49,0.7557,0.7,0.0,0.0,0.0,0.0,20,0.4481456520967013,0.6729740518962076,0.612976454439869,0.5166783126376949,0.6427604474148709,0.5920583896145624
wuhan,Wuhan,武汉,hscw,OK,1757,high_rise_dominant,high_rise,0.968,0,1757,64.883,36.2,34.5,11.74,0.0173,639.2,569.8,1123122.0,2.065,1.899,0.219,0.615,0.997,418.0,734380.0,146.88,1503.8,18.6,0.314,3099.0,0.2192,4.42,True,5231.0,708.3,10000.0,0.2,1241.5,116.5,1055.3,1238.5,1436.3,0.0938,2.97,3.58,6.55,1.0,0.2434,0.0336,0.1943,0.3029,4096.0,0.5,0.8229,0.8261,0.1428,0.1457,0.0309,0.0316,0.0,0.0,0.0,0.0,0.4367,0.4498,0.0735,0.0767,0.0155,0.0165,0.3833,0.3962,0.0728,0.0766,0.0068,0.0334,ghi_factor,0.8229,ghi_factor,0.4367,simplified,1269.4,253.9,Wuhan,武汉,hscw,186.45,0.3931,0.8,0.0,0.0,0.0,0.0,21,0.448751886671659,0.5534122765704547,0.6664179316618342,0.6121720697561611,0.6884696419979074,0.6058881858259205
nanjing,Nanjing,南京,hscw,OK,1670,mid_high_dominant,mid_high,0.966,0,1670,38.702,23.15,21.0,15.1,0.0295,684.6,608.2,1143200.0,1.892,1.78,0.252,0.63,0.999,448.2,748425.0,149.68,1456.1,16.3,0.2432,3123.0,0.2246,4.54,True,5024.0,691.3,10000.0,0.2,1202.2,102.7,1038.1,1199.3,1374.3,0.0854,3.26,3.64,6.9,1.0,0.251,0.0332,0.2022,0.3097,4096.0,0.5,0.7813,0.7844,0.1771,0.1799,0.0383,0.039,0.0,0.0,0.0,0.0,0.3347,0.3465,0.0743,0.0776,0.0157,0.0167,0.3882,0.401,0.1677,0.1754,0.0065,0.0361,ghi_factor,0.7813,pv_cost,0.3882,simplified,1238.9,247.8,Nanjing,南京,hscw,185.44,0.6369,0.8,0.0,0.0,0.0,0.0,22,0.5269679212840439,0.5258431451703335,0.6535212754724951,0.5749583843512339,0.4600690559671316,0.5419910419356018
chengdu,Chengdu,成都,hscw,OK,8708,mixed,mid_rise,0.473,0,8708,85.24,18.46,18.0,14.75,0.0734,718.8,525.7,6259663.0,1.92,1.718,0.616,0.643,0.769,410.5,3574504.0,714.9,1292.4,17.8,0.3653,2967.0,0.2543,5.78,True,3295.0,549.2,10000.0,0.2,1067.0,118.8,877.0,1064.6,1266.1,0.1114,4.31,4.57,8.88,1.0,0.2825,0.043,0.2205,0.3592,4096.0,0.5,0.8778,0.8813,0.0975,0.1005,0.0211,0.0218,0.0,0.0,0.0,0.0,0.5503,0.5679,0.058,0.0613,0.0121,0.0132,0.3001,0.3157,0.0571,0.0612,0.0072,0.0409,ghi_factor,0.8778,ghi_factor,0.5503,simplified,1094.0,218.8,Chengdu,成都,hscw,782.1,0.8122,0.7,0.0,0.0,0.0,0.0,23,0.24578838326602448,0.37507636412568124,0.20843485782510168,0.2793740237150432,0.442434900051837,0.32250797737895165
hangzhou,Hangzhou,杭州,hscw,OK,6219,unknown,unknown,0.0,0,6219,135.451,35.77,18.0,46.33,0.0422,919.6,611.0,5719079.0,1.802,1.647,0.624,0.656,0.858,553.9,3444722.0,688.94,1277.6,17.0,0.2617,2845.0,0.2566,5.42,True,3711.0,583.4,10000.0,0.2,1054.8,90.1,910.8,1052.3,1205.8,0.0854,3.93,4.33,8.26,1.0,0.2861,0.0378,0.2305,0.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1084.3,216.9,Hangzhou,杭州,hscw,747.02,0.3423,0.2,,,,,24,0.3929512200800065,0.5720899773486734,0.34594216758850893,0.3279612285324153,0.47688077766258447,0.43275745644441055
hefei,Hefei,合肥,hscw,OK,1218,unknown,unknown,0.0,0,1218,44.595,19.59,18.0,11.93,0.0276,1010.9,620.9,1231254.0,1.968,1.727,0.248,0.647,0.796,606.5,738761.0,147.75,1460.8,16.8,0.3008,3129.0,0.2243,4.51,True,5079.0,695.9,10000.0,0.2,1206.0,93.4,1056.1,1203.5,1363.1,0.0775,2.84,3.73,6.57,1.0,0.2482,0.0314,0.2016,0.3039,4096.0,0.5,0.7249,0.7277,0.2237,0.2263,0.0484,0.0491,0.0,0.0,0.0,0.0,0.3017,0.3107,0.0919,0.0951,0.0195,0.0205,0.4809,0.4918,0.0913,0.0951,0.0061,0.0275,ghi_factor,0.7249,pv_cost,0.4809,simplified,1240.4,248.1,Hefei,合肥,hscw,183.27,0.7598,0.7,0.0,0.0,0.0,0.0,25,0.4430489822792396,0.6632187310771716,0.3289926536877757,0.5806830735961263,0.6906221111687078,0.5481851303334807
nanchang,Nanchang,南昌,hscw,OK,2195,unknown,unknown,0.0,0,2195,54.267,17.77,18.0,7.67,0.0304,752.4,551.8,1651452.0,1.992,1.806,0.243,0.648,0.809,443.3,973144.0,194.63,1490.7,19.0,0.2862,3103.0,0.2214,4.14,True,5785.0,753.9,10000.0,0.2,1230.7,105.2,1062.8,1227.8,1406.9,0.0854,2.67,3.38,6.04,1.0,0.2452,0.0324,0.1975,0.3025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1256.5,251.3,Nanchang,南昌,hscw,244.55,0.7575,0.2,,,,,26,0.482812163760563,0.5495382269169526,0.35832561747195896,0.6485609212497302,0.7043038321562021,0.5520488214427383
ningbo,Ningbo,宁波,hscw,OK,7363,unknown,unknown,0.0,0,7363,556.325,15.35,18.0,6.75,0.0079,600.1,414.3,4418707.0,1.951,1.827,0.057,0.643,0.784,341.2,2512210.0,502.44,1425.1,17.4,0.3121,2929.0,0.2303,4.84,True,4519.0,649.9,10000.0,0.2,1176.6,100.5,1016.0,1173.8,1345.0,0.0854,3.48,3.87,7.35,1.0,0.2565,0.0339,0.2066,0.3164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1207.9,241.6,Ningbo,宁波,hscw,606.9,0.8389,0.2,,,,,27,0.40480416669029506,0.5730094866446882,0.2926042453481478,0.5085090379145806,0.5774943978271668,0.47475079699407835
shanghai,Shanghai,上海,hscw,OK,4742,unknown,unknown,0.0,0,4742,32.376,18.22,18.0,11.99,0.1009,688.8,510.9,3266345.0,1.897,1.741,0.809,0.647,0.806,399.1,1892711.0,378.54,1497.4,17.0,0.2861,3195.0,0.219,3.98,True,6151.0,784.0,10000.0,0.2,1236.3,105.6,1067.5,1233.4,1413.2,0.0854,2.83,3.19,6.02,1.0,0.2441,0.0323,0.1967,0.3012,4096.0,0.5,0.7813,0.7844,0.1771,0.1799,0.0383,0.039,0.0,0.0,0.0,0.0,0.3348,0.3463,0.0743,0.0776,0.0157,0.0167,0.3885,0.4011,0.1677,0.1753,0.0065,0.0352,ghi_factor,0.7813,pv_cost,0.3885,simplified,1270.7,254.1,Shanghai,上海,hscw,481.01,0.6928,0.7,0.0,0.0,0.0,0.0,28,0.486947642082008,0.26010406153984167,0.3610144936364449,0.6818192502558909,0.5284076809914301,0.4516761265618421
chongqing,Chongqing,重庆,hscw,OK,1929,unknown,unknown,0.0,0,1929,23.813,18.58,12.0,31.11,0.0654,807.5,498.3,1557712.0,1.831,1.543,0.661,0.635,0.704,424.7,819282.0,163.86,1122.9,18.5,0.4616,2592.0,0.2935,6.45,True,2635.0,494.9,10000.0,0.2,927.1,103.3,762.0,925.0,1100.1,0.1114,4.84,5.08,9.92,1.0,0.3272,0.0498,0.2554,0.416,4096.0,0.5,0.8778,0.8813,0.0975,0.1005,0.0211,0.0218,0.0,0.0,0.0,0.0,0.5501,0.5682,0.058,0.0614,0.0121,0.0132,0.2997,0.3158,0.057,0.0613,0.0072,0.0421,ghi_factor,0.8778,ghi_factor,0.5501,simplified,948.1,189.6,Chongqing,重庆,hscw,155.36,0.5368,0.7,0.0,0.0,0.0,0.0,29,0.0,0.4404480925788872,0.027243589743589595,0.04075235109717865,0.3024320423437271,0.18229128648017145
shenzhen,Shenzhen,深圳,hsww,OK,5361,high_rise_dominant,high_rise,0.804,0,5361,60.827,40.67,33.0,24.79,0.0432,490.4,406.1,2629050.0,2.152,1.789,0.667,0.593,0.983,307.4,1648013.0,329.6,1560.9,22.7,0.2102,3375.0,0.2142,3.52,True,7358.0,883.3,10000.0,0.2,1288.7,99.8,1128.4,1286.0,1456.5,0.0775,2.36,2.78,5.14,1.0,0.2362,0.0299,0.1917,0.289,4096.0,0.5,0.7249,0.7277,0.2237,0.2263,0.0484,0.0491,0.0,0.0,0.0,0.0,0.2691,0.2782,0.082,0.0852,0.0174,0.0183,0.4295,0.4409,0.1853,0.1925,0.0061,0.0313,ghi_factor,0.7249,pv_cost,0.4295,simplified,1298.9,259.8,Shenzhen,深圳,hsww,428.12,0.3003,0.7,0.0,0.0,0.0,0.0,30,0.6389794945615207,0.3970073336473121,0.6595558912632083,0.7702794819359237,0.581385853066181,0.5970474182235997
guangzhou,Guangzhou,广州,hsww,OK,1605,high_rise_dominant,high_rise,0.86,0,1605,110.305,38.18,33.0,19.94,0.0144,991.5,695.3,1591326.0,2.068,1.831,0.203,0.642,0.986,665.2,1067595.0,213.52,1502.2,22.3,0.2149,3246.0,0.2223,3.65,True,6968.0,851.2,10000.0,0.2,1240.2,106.0,1071.0,1237.3,1417.8,0.0854,2.54,2.87,5.41,1.0,0.2457,0.0325,0.198,0.3032,4096.0,0.5,0.7813,0.7844,0.1771,0.1799,0.0383,0.039,0.0,0.0,0.0,0.0,0.3349,0.3462,0.0744,0.0775,0.0158,0.0167,0.3887,0.4011,0.1678,0.1752,0.0065,0.0346,ghi_factor,0.7813,pv_cost,0.3887,simplified,1251.8,250.4,Guangzhou,广州,hsww,267.28,0.3142,0.7,0.0,0.0,0.0,0.0,31,0.5969910776883411,0.7049124223463186,0.6394982050469855,0.7222959444241441,0.5663564986554785,0.6347707917570217
xiamen,Xiamen,厦门,hsww,OK,901,high_rise_dominant,high_rise,0.989,0,901,65.504,30.83,30.0,13.22,0.0069,504.6,309.2,454661.0,1.672,1.437,0.081,0.586,0.996,323.5,291451.0,58.29,1661.1,22.1,0.2186,3398.0,0.2009,3.63,True,7026.0,856.0,10000.0,0.2,1371.4,117.2,1184.2,1368.2,1567.7,0.0854,2.53,2.86,5.39,1.0,0.2208,0.0291,0.1778,0.2724,4096.0,0.5,0.7813,0.7844,0.1771,0.1799,0.0383,0.039,0.0,0.0,0.0,0.0,0.3349,0.3462,0.0744,0.0775,0.0158,0.0167,0.3887,0.4011,0.1678,0.1752,0.0065,0.0346,ghi_factor,0.7813,pv_cost,0.3887,simplified,1385.1,277.0,Xiamen,厦门,hsww,80.74,0.4547,0.8,0.0,0.0,0.0,0.0,32,0.685929212467359,0.5386310525017382,0.7258965627868066,0.7983687093058788,0.6011825208157844,0.6566029646418283
fuzhou,Fuzhou,福州,hsww,OK,1568,unknown,unknown,0.0,0,1568,25.462,13.3,12.0,8.98,0.0335,544.8,248.4,854228.0,1.812,1.522,0.273,0.631,0.687,315.7,495042.0,99.01,1402.1,18.9,0.3183,3053.0,0.2353,4.28,True,5501.0,730.6,10000.0,0.2,1157.6,98.9,999.6,1154.9,1323.3,0.0854,3.04,3.41,6.45,1.0,0.2615,0.0345,0.2106,0.3227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1182.2,236.4,Fuzhou,福州,hsww,117.05,0.8133,0.2,,,,,33,0.38179071218814503,0.45505348852856087,0.12358779431950165,0.5792417511266675,0.6324623237002959,0.4350271850343125
nanning,Nanning,南宁,hsww,OK,1777,unknown,unknown,0.0,0,1777,61.776,18.81,18.0,9.98,0.0303,1054.2,533.8,1873258.0,1.82,1.601,0.279,0.648,0.804,645.6,1147298.0,229.46,1417.5,22.4,0.2508,3181.0,0.2356,4.29,True,5492.0,729.9,10000.0,0.2,1170.3,100.0,1010.6,1167.5,1337.8,0.0854,2.73,3.45,6.18,1.0,0.2604,0.0344,0.2098,0.3213,4096.0,0.5,0.7813,0.7844,0.1771,0.1799,0.0383,0.039,0.0,0.0,0.0,0.0,0.3713,0.3823,0.0824,0.0856,0.0175,0.0184,0.4307,0.4425,0.0818,0.0855,0.0065,0.0302,ghi_factor,0.7813,pv_cost,0.4307,simplified,1181.0,236.2,Nanning,南宁,hsww,270.99,0.5768,0.7,0.0,0.0,0.0,0.0,34,0.49256847607072063,0.6703918006683263,0.31045428149086685,0.5766518581200197,0.6955732038998922,0.5549705595619122
haikou,Haikou,海口,hsww,OK,1068,unknown,unknown,0.0,0,1068,123.104,17.26,18.0,13.07,0.01,1147.6,439.3,1225686.0,1.636,1.411,0.096,0.638,0.739,710.1,758431.0,151.69,1728.6,24.8,0.232,3467.0,0.1948,3.64,True,7001.0,853.9,10000.0,0.2,1427.1,133.9,1213.1,1423.6,1651.0,0.0938,2.36,2.88,5.25,1.0,0.216,0.0298,0.1723,0.2687,4096.0,0.5,0.8229,0.8261,0.1428,0.1457,0.0309,0.0316,0.0,0.0,0.0,0.0,0.4369,0.4494,0.0735,0.0766,0.0155,0.0165,0.3838,0.3962,0.0728,0.0765,0.0068,0.0322,ghi_factor,0.8229,ghi_factor,0.4369,simplified,1428.0,285.6,Haikou,海口,hsww,216.61,0.7314,0.7,0.0,0.0,0.0,0.0,35,0.7059027938409963,0.7837071923568593,0.3366856720515256,0.817592040566443,0.8102340429568914,0.6831444282628698
kunming,Kunming,昆明,mild,OK,2642,mid_high_dominant,mid_high,0.86,0,2642,278.358,27.42,24.0,16.36,0.0072,758.3,642.2,2003319.0,1.906,1.685,0.074,0.639,0.984,496.4,1311385.0,262.28,1650.2,16.1,0.2568,3399.0,0.198,4.98,True,4306.0,632.3,10000.0,0.2,1362.4,95.4,1209.4,1359.4,1522.0,0.07,3.05,4.17,7.22,1.0,0.2174,0.0265,0.1777,0.2643,4096.0,0.5,0.6474,0.6499,0.2876,0.29,0.0622,0.0629,0.0,0.0,0.0,0.0,0.2302,0.2371,0.1016,0.105,0.0217,0.0226,0.5324,0.5423,0.1011,0.1049,0.0055,0.0248,ghi_factor,0.6474,pv_cost,0.5324,simplified,1405.1,281.0,Kunming,昆明,mild,368.53,0.9148,0.7,0.0,0.0,0.0,0.0,36,0.6219377942304932,0.6387849021059006,0.7172243406999503,0.5966540804704543,0.6899179120439367,0.6622508632477819
guiyang,Guiyang,贵阳,mild,OK,707,mixed,mid_high,0.468,0,707,55.09,16.49,15.0,16.29,0.0206,1601.7,815.7,1132431.0,1.817,1.528,0.139,0.645,0.812,926.4,654945.0,130.99,1193.9,15.0,0.4029,2874.0,0.2727,6.71,True,2422.0,477.4,10000.0,0.2,985.7,101.0,824.4,983.6,1154.9,0.1025,4.89,5.41,10.3,1.0,0.3042,0.0441,0.2401,0.3821,4096.0,0.5,0.8541,0.8574,0.1171,0.1201,0.0253,0.026,0.0,0.0,0.0,0.0,0.496,0.5125,0.0653,0.0688,0.0137,0.0148,0.3387,0.354,0.0645,0.0687,0.007,0.0399,ghi_factor,0.8541,ghi_factor,0.496,simplified,1020.1,204.0,Guiyang,贵阳,mild,133.62,1.0734,0.7,0.0,0.0,0.0,0.0,37,0.13059873265806635,0.9252842629348046,0.23833128253859964,0.07089297886843896,0.3363896478445658,0.3593824912528568
lhasa,Lhasa,拉萨,mild,OK,2418,unknown,unknown,0.0,0,2418,35.273,16.19,18.0,7.95,0.0461,672.7,416.5,1626481.0,2.437,2.064,0.374,0.643,0.772,398.7,963957.0,192.79,2131.7,3.1,0.1959,3693.0,0.1468,4.49,True,5098.0,697.4,10000.0,0.2,1759.9,101.1,1597.2,1757.4,1929.6,0.0575,2.47,4.07,6.54,1.0,0.168,0.0193,0.139,0.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1895.2,379.0,Lhasa,拉萨,mild,365.38,2.3124,0.2,,,,,38,1.0,0.45892036152414273,0.6362179487179487,0.847962382445141,0.8608242753623188,0.7555713291814639
