d1_1_ghi_annual_kwh,d1_2_temp_annual_c,d1_3_ghi_cv_seasonal,d1_4_sunshine_hours,d4_1_lcoe_cny_kwh,d4_2_pbt_years,d4_3_npv_positive,d4_npv_cny_kwp,d4_annual_revenue_cny_kwp,mc_n_samples,mc_elapsed_s,mc_yield_mean,mc_yield_std,mc_yield_p05,mc_yield_p50,mc_yield_p95,d5_1_yield_cv,d5_2_pbt_ci95_width,d5_2_pbt_p025,d5_2_pbt_p975,d5_3_prob_pbt_le_15yr,mc_lcoe_mean,mc_lcoe_std,mc_lcoe_p05,mc_lcoe_p95,sobol_n_samples,sobol_elapsed_s,sobol_yield_S1_ghi_factor,sobol_yield_ST_ghi_factor,sobol_yield_S1_module_efficiency,sobol_yield_ST_module_efficiency,sobol_yield_S1_system_losses,sobol_yield_ST_system_losses,sobol_yield_S1_pv_cost,sobol_yield_ST_pv_cost,sobol_yield_S1_elec_price_factor,sobol_yield_ST_elec_price_factor,sobol_pbt_S1_ghi_factor,sobol_pbt_ST_ghi_factor,sobol_pbt_S1_module_efficiency,sobol_pbt_ST_module_efficiency,sobol_pbt_S1_system_losses,sobol_pbt_ST_system_losses,sobol_pbt_S1_pv_cost,sobol_pbt_ST_pv_cost,sobol_pbt_S1_elec_price_factor,sobol_pbt_ST_elec_price_factor,d5_4_interaction_ratio_yield,d5_4_interaction_ratio_pbt,d5_5_dominant_factor_yield,d5_5_dominant_S1_yield,d5_5_dominant_factor_pbt,d5_5_dominant_S1_pbt,method,specific_yield_kwh_kwp,energy_per_m2_kwh,city,name_en,name_cn,climate_zone,d3_total_generation_gwh,d3_self_sufficiency_ratio,total_elapsed_s,sobol_yield_S1_annual_degradation,sobol_yield_ST_annual_degradation,sobol_pbt_S1_annual_degradation,sobol_pbt_ST_annual_degradation
1661.1,22.1,0.2186,3398.0,0.2009,3.63,True,7026.0,856.0,10000.0,0.2,1371.4,117.2,1184.2,1368.2,1567.7,0.0854,2.53,2.86,5.39,1.0,0.2208,0.0291,0.1778,0.2724,4096.0,0.5,0.7813,0.7844,0.1771,0.1799,0.0383,0.039,0.0,0.0,0.0,0.0,0.3349,0.3462,0.0744,0.0775,0.0158,0.0167,0.3887,0.4011,0.1678,0.1752,0.0065,0.0346,ghi_factor,0.7813,pv_cost,0.3887,simplified,1385.1,277.0,xiamen,Xiamen,厦门,hsww,80.74,0.4547,0.8,0.0,0.0,0.0,0.0
1502.2,22.3,0.2149,3246.0,0.2223,3.65,True,6968.0,851.2,10000.0,0.2,1240.2,106.0,1071.0,1237.3,1417.8,0.0854,2.54,2.87,5.41,1.0,0.2457,0.0325,0.198,0.3032,4096.0,0.5,0.7813,0.7844,0.1771,0.1799,0.0383,0.039,0.0,0.0,0.0,0.0,0.3349,0.3462,0.0744,0.0775,0.0158,0.0167,0.3887,0.4011,0.1678,0.1752,0.0065,0.0346,ghi_factor,0.7813,pv_cost,0.3887,simplified,1251.8,250.4,guangzhou,Guangzhou,广州,hsww,267.28,0.3142,0.7,0.0,0.0,0.0,0.0
1650.2,16.1,0.2568,3399.0,0.198,4.98,True,4306.0,632.3,10000.0,0.2,1362.4,95.4,1209.4,1359.4,1522.0,0.07,3.05,4.17,7.22,1.0,0.2174,0.0265,0.1777,0.2643,4096.0,0.5,0.6474,0.6499,0.2876,0.29,0.0622,0.0629,0.0,0.0,0.0,0.0,0.2302,0.2371,0.1016,0.105,0.0217,0.0226,0.5324,0.5423,0.1011,0.1049,0.0055,0.0248,ghi_factor,0.6474,pv_cost,0.5324,simplified,1405.1,281.0,kunming,Kunming,昆明,mild,368.53,0.9148,0.7,0.0,0.0,0.0,0.0
1193.9,15.0,0.4029,2874.0,0.2727,6.71,True,2422.0,477.4,10000.0,0.2,985.7,101.0,824.4,983.6,1154.9,0.1025,4.89,5.41,10.3,1.0,0.3042,0.0441,0.2401,0.3821,4096.0,0.5,0.8541,0.8574,0.1171,0.1201,0.0253,0.026,0.0,0.0,0.0,0.0,0.496,0.5125,0.0653,0.0688,0.0137,0.0148,0.3387,0.354,0.0645,0.0687,0.007,0.0399,ghi_factor,0.8541,ghi_factor,0.496,simplified,1020.1,204.0,guiyang,Guiyang,贵阳,mild,133.62,1.0734,0.7,0.0,0.0,0.0,0.0
1615.7,12.0,0.3222,3425.0,0.1995,4.5,True,5098.0,697.4,10000.0,0.2,1333.9,103.3,1168.1,1331.1,1507.6,0.0775,2.88,3.79,6.67,1.0,0.2222,0.0281,0.1804,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1394.8,279.0,dalian,Dalian,大连,severe_cold,591.0,0.9701,0.2,,,,
1575.3,12.2,0.3188,3398.0,0.2048,4.52,True,5061.0,694.3,10000.0,0.2,1300.6,91.0,1154.5,1297.7,1452.9,0.07,2.79,3.84,6.63,1.0,0.2277,0.0277,0.1862,0.2768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1358.8,271.8,tangshan,Tangshan,唐山,severe_cold,591.65,0.8104,0.2,,,,
1564.4,10.5,0.2789,3358.0,0.205,5.14,True,4076.0,613.4,10000.0,0.2,1291.6,90.4,1146.5,1288.8,1442.8,0.07,3.22,4.39,7.61,1.0,0.2293,0.0279,0.1875,0.2788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1357.1,271.4,taiyuan,Taiyuan,太原,cold,415.72,0.9551,0.2,,,,
1644.5,14.1,0.3237,3390.0,0.1974,4.35,True,5376.0,720.3,10000.0,0.2,1357.7,95.0,1205.2,1354.7,1516.7,0.07,2.66,3.67,6.33,1.0,0.2195,0.0268,0.1795,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1409.6,281.9,shijiazhuang,Shijiazhuang,石家庄,cold,275.79,0.6115,0.2,,,,
1755.9,9.1,0.2728,3513.0,0.1818,4.3,True,5474.0,728.4,10000.0,0.2,1449.7,91.7,1302.2,1447.1,1603.5,0.0632,2.38,3.79,6.17,1.0,0.2034,0.024,0.1674,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1530.2,306.0,lanzhou,Lanzhou,兰州,cold,2169.85,1.007,0.2,,,,
1754.8,6.4,0.2585,3523.0,0.1803,5.28,True,3897.0,598.6,10000.0,0.2,1448.8,91.6,1301.4,1446.2,1602.5,0.0632,2.99,4.69,7.68,1.0,0.2035,0.024,0.1675,0.2462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1542.9,308.6,xining,Xining,西宁,cold,283.23,1.1417,0.2,,,,
