,D1,D2,D3,D4,D5
D1,1.0,0.019238272600801277,0.5308428251414999,0.8454793173335872,0.6359956561817219
D2,0.019238272600801277,1.0,0.1706979189003889,-0.03553015308758456,0.10566438760286477
D3,0.5308428251414999,0.1706979189003889,1.0,0.5489355420727251,0.32633497319811083
D4,0.8454793173335872,-0.03553015308758456,0.5489355420727251,1.0,0.7147487427599177
D5,0.6359956561817219,0.10566438760286477,0.32633497319811083,0.7147487427599177,1.0
