typology,count,height_mean,height_std,area_mean,area_total,floors_mean,roof_util_mean,shading_mean,effective_pv_mean,effective_pv_total,pct
low_rise,134,5.93,0.94,217.96,29206.79,1.99,0.54,1.0,122.79,16453.84,3.4
mid_rise,3628,17.96,0.42,916.31,3324388.82,5.99,0.65,1.0,613.5,2225790.6,92.4
mid_high,43,22.74,2.74,1570.25,67520.88,7.63,0.68,0.99,1082.13,46531.66,1.1
high_rise,123,45.63,14.01,1087.94,133816.64,15.21,0.67,1.0,739.61,90972.3,3.1
