typology,count,height_mean,height_std,area_mean,area_total,floors_mean,roof_util_mean,shading_mean,effective_pv_mean,effective_pv_total,pct
low_rise,1,6.0,,103.02,103.02,2.0,0.5,0.57,29.42,29.42,0.1
mid_rise,15,16.4,2.5,943.02,14145.23,5.47,0.66,0.95,608.54,9128.06,0.9
mid_high,1613,21.0,0.0,668.61,1078466.73,7.0,0.63,1.0,436.82,704590.33,96.6
high_rise,41,110.66,38.04,1231.35,50485.49,36.88,0.68,1.0,845.78,34677.12,2.5
