city,name_en,name_cn,climate_zone,status,n_buildings_analyzed,city_typology,dominant_type,dominant_pct,elapsed_s,n_buildings,study_area_km2,d2_1_height_mean,d2_1_height_median,d2_1_height_std,d2_2_building_density,d2_3_roof_area_mean,d2_3_roof_area_median,d2_3_roof_area_total_m2,d2_4_compactness_mean,d2_4_compactness_median,d2_5_far,d3_1_roof_utilization_mean,d3_2_shading_factor_mean,d3_3_effective_area_mean_m2,d3_4_total_deployable_m2,d3_4_total_deployable_mw
harbin,Harbin,哈尔滨,severe_cold,OK,6577,mid_high_dominant,mid_high,0.989,1.1,6577,191.48,21.26,21.0,6.57,0.052,1513.3,891.0,9953172.0,2.423,2.078,0.374,0.658,0.998,1035.4,6809812.0,1361.96
beijing,Beijing,北京,cold,OK,3928,mid_rise_dominant,mid_rise,0.924,1.7,3928,430.915,18.47,18.0,5.94,0.0082,905.0,798.6,3554933.0,2.149,1.983,0.052,0.649,0.998,605.8,2379748.0,475.95
changsha,Changsha,长沙,hscw,OK,3242,mid_high_dominant,mid_high,0.961,0.9,3242,432.319,22.01,21.0,8.55,0.0063,835.5,685.9,2708735.0,2.015,1.857,0.046,0.639,0.999,558.0,1809194.0,361.84
shenzhen,Shenzhen,深圳,hsww,OK,5361,high_rise_dominant,high_rise,0.804,1.5,5361,60.827,40.67,33.0,24.79,0.0432,490.4,406.1,2629050.0,2.152,1.789,0.667,0.593,0.983,307.4,1648013.0,329.6
kunming,Kunming,昆明,mild,OK,2642,mid_high_dominant,mid_high,0.86,0.8,2642,278.358,27.42,24.0,16.36,0.0072,758.3,642.2,2003319.0,1.906,1.685,0.074,0.639,0.984,496.4,1311385.0,262.28
