typology,count,height_mean,height_std,area_mean,area_total,floors_mean,roof_util_mean,shading_mean,effective_pv_mean,effective_pv_total,pct
low_rise,96,5.52,1.41,1544.42,148264.26,1.83,0.6,0.41,339.62,32603.76,5.6
mid_rise,843,14.06,1.39,505.92,426492.58,4.69,0.65,0.83,275.78,232481.63,49.4
mid_high,763,21.01,0.15,1990.37,1518649.76,7.0,0.66,0.95,1245.79,950534.64,44.7
high_rise,6,53.5,29.96,3101.76,18610.57,17.83,0.68,0.97,2045.92,12275.53,0.4
