typology,count,height_mean,height_std,area_mean,area_total,floors_mean,roof_util_mean,shading_mean,effective_pv_mean,effective_pv_total,pct
low_rise,2084,5.9,0.98,252.59,526399.83,1.97,0.6,0.44,64.26,133913.24,23.9
mid_rise,4120,15.92,2.84,529.04,2179640.86,5.31,0.65,0.82,282.84,1165313.22,47.3
mid_high,1744,26.68,1.32,1073.54,1872253.28,8.89,0.66,0.95,670.45,1169259.86,20.0
high_rise,760,47.87,30.94,2212.33,1681368.87,15.96,0.68,0.97,1455.29,1106017.24,8.7
