typology,count,height_mean,height_std,area_mean,area_total,floors_mean,roof_util_mean,shading_mean,effective_pv_mean,effective_pv_total,pct
low_rise,1349,3.16,0.84,614.34,828743.65,1.05,0.6,0.49,177.81,239867.37,43.3
mid_rise,1351,16.95,1.82,1108.5,1497581.53,5.65,0.65,0.83,593.56,801895.45,43.4
mid_high,100,25.79,1.84,1251.37,125137.44,8.6,0.66,0.93,736.81,73681.25,3.2
high_rise,313,62.07,21.33,845.09,264514.73,20.69,0.68,0.96,552.01,172778.28,10.1
