city,name_en,name_cn,climate_zone,status,n_buildings_analyzed,city_typology,dominant_type,dominant_pct,elapsed_s,n_buildings,study_area_km2,d2_1_height_mean,d2_1_height_median,d2_1_height_std,d2_2_building_density,d2_3_roof_area_mean,d2_3_roof_area_median,d2_3_roof_area_total_m2,d2_4_compactness_mean,d2_4_compactness_median,d2_5_far,d3_1_roof_utilization_mean,d3_2_shading_factor_mean,d3_3_effective_area_mean_m2,d3_4_total_deployable_m2,d3_4_total_deployable_mw
shijiazhuang,Shijiazhuang,石家庄,cold,OK,1060,unknown,unknown,0.0,0,1060,62.47,27.55,27.0,18.74,0.0281,1654.7,795.6,1754010.0,2.04,1.88,0.248,0.658,0.876,922.9,978228.0,195.65
suzhou,Suzhou,苏州,cold,OK,13337,unknown,unknown,0.0,0,13337,76.389,12.56,12.0,7.21,0.0702,402.2,264.4,5363654.0,1.69,1.511,0.482,0.63,0.693,224.8,2997719.0,599.54
taiyuan,Taiyuan,太原,cold,OK,3575,unknown,unknown,0.0,0,3575,90.351,18.03,18.0,7.81,0.0286,723.5,568.3,2586601.0,2.133,1.926,0.23,0.647,0.8,428.4,1531627.0,306.33
tangshan,Tangshan,唐山,severe_cold,OK,4831,unknown,unknown,0.0,0,4831,51.85,19.62,18.0,9.43,0.0718,770.2,611.1,3721005.0,2.239,2.123,0.564,0.651,0.846,450.7,2177116.0,435.42
tianjin,Tianjin,天津,cold,OK,2363,unknown,unknown,0.0,0,2363,51.049,18.65,18.0,9.53,0.0409,884.1,648.9,2089086.0,11.482,1.797,0.362,0.645,0.792,538.6,1272637.0,254.53
urumqi,Urumqi,乌鲁木齐,severe_cold,OK,3113,mixed,mid_rise,0.434,0,3113,40.676,15.8,15.0,18.33,0.0668,872.5,578.8,2715977.0,1.984,1.845,0.379,0.632,0.696,413.8,1288222.0,257.64
wuhan,Wuhan,武汉,hscw,OK,1757,high_rise_dominant,high_rise,0.968,0,1757,64.883,36.2,34.5,11.74,0.0173,639.2,569.8,1123122.0,2.065,1.899,0.219,0.615,0.997,418.0,734380.0,146.88
wuxi,Wuxi,无锡,cold,OK,2358,unknown,unknown,0.0,0,2358,79.819,18.21,18.0,10.16,0.0284,960.0,499.9,2263586.0,1.823,1.672,0.262,0.647,0.805,589.2,1389384.0,277.88
xiamen,Xiamen,厦门,hsww,OK,901,high_rise_dominant,high_rise,0.989,0,901,65.504,30.83,30.0,13.22,0.0069,504.6,309.2,454661.0,1.672,1.437,0.081,0.586,0.996,323.5,291451.0,58.29
xian,Xian,西安,cold,OK,7968,mid_rise_dominant,mid_rise,0.993,0,7968,53.851,17.05,17.0,2.21,0.1398,944.8,454.4,7528425.0,2.315,1.877,0.843,0.572,0.999,640.1,5100161.0,1020.03
xining,Xining,西宁,cold,OK,1418,unknown,unknown,0.0,0,1418,41.345,20.8,18.0,7.79,0.0361,1051.4,678.3,1490864.0,1.985,1.825,0.325,0.653,0.851,647.3,917874.0,183.57
yinchuan,Yinchuan,银川,cold,OK,1261,unknown,unknown,0.0,0,1261,54.592,23.31,27.0,7.82,0.0321,1391.3,825.1,1754485.0,2.076,1.928,0.305,0.658,0.88,868.4,1095005.0,219.0
zhengzhou,Zhengzhou,郑州,cold,OK,10271,unknown,unknown,0.0,0,10271,182.75,19.55,18.0,10.82,0.049,872.2,578.0,8957901.0,2.191,1.979,0.435,0.649,0.819,523.8,5380220.0,1076.04
hongkong,Hong Kong,香港,hsww,WARNING,9607,mixed,low_rise,0.398,0,9607,22.067,22.77,12.0,27.28,0.1574,361.6,180.4,3474328.0,2.094,1.8,1.667,0.638,0.709,187.7,1803434.0,360.69
taipei,Taipei,台北,hscw,OK,22336,mid_rise_dominant,mid_rise,0.75,0,22336,34.171,15.48,15.0,8.56,0.1641,251.0,183.1,5606337.0,1.601,1.43,1.053,0.646,0.799,135.5,3025986.0,605.2
