typology,count,height_mean,height_std,area_mean,area_total,floors_mean,roof_util_mean,shading_mean,effective_pv_mean,effective_pv_total,pct
low_rise,2,6.0,0.0,173.84,347.69,2.0,0.55,0.75,82.69,165.39,0.1
mid_rise,64,15.64,1.7,994.91,63674.37,5.2,0.68,0.96,660.44,42268.39,2.0
mid_high,3116,21.02,0.24,830.61,2588190.37,7.01,0.64,1.0,554.73,1728526.91,96.1
high_rise,60,80.77,19.77,942.05,56522.74,26.8,0.66,1.0,637.21,38232.84,1.9
