typology,count,height_mean,height_std,area_mean,area_total,floors_mean,roof_util_mean,shading_mean,effective_pv_mean,effective_pv_total,pct
low_rise,1,10.0,,302.07,302.07,3.0,0.6,0.7,126.55,126.55,0.1
mid_rise,6,14.0,3.1,418.75,2512.51,4.67,0.58,0.64,186.13,1116.77,0.7
mid_high,3,21.33,2.31,272.81,818.44,7.33,0.57,0.69,103.87,311.62,0.3
high_rise,891,30.99,13.19,506.2,451027.93,10.33,0.59,1.0,325.36,289896.29,98.9
