typology,count,height_mean,height_std,area_mean,area_total,floors_mean,roof_util_mean,shading_mean,effective_pv_mean,effective_pv_total,pct
low_rise,13,6.62,1.12,497.77,6471.04,2.15,0.62,0.59,183.49,2385.4,0.2
mid_rise,28,15.93,2.57,1978.55,55399.54,5.32,0.67,0.88,1296.95,36314.67,0.4
mid_high,6507,21.01,0.17,1512.46,9841581.65,7.0,0.66,1.0,1035.38,6737229.37,98.9
high_rise,29,90.21,71.18,1714.47,49719.69,30.07,0.67,0.97,1168.36,33882.41,0.4
