scenario,scenario_label,city,name_en,climate_zone,province,grid_region,elec_price_eff,carbon_uplift_cny_kwh,d4_lcoe,d4_pbt,d4_npv_positive,D1_score,D2_score,D3_score,D4_score,D5_score,fdsi,rank,suitability
carbon_pricing,Carbon Price 100 CNY/tCO₂,qingdao,Qingdao,,山东,华北,0.6354,0.0884,0.1931,3.39,True,0.5690354089880337,0.3403036623382449,0.33858265718021807,0.5401082214851076,0.5552503052503053,0.4838209129147337,20,Medium
carbon_pricing,Carbon Price 100 CNY/tCO₂,shanghai,Shanghai,,上海,华东,0.6874,0.0703,0.219,3.56,True,0.486947642082008,0.26010406153984167,0.3610144936364449,0.46529388555441303,0.4789377289377289,0.4281207245694584,31,Low
carbon_pricing,Carbon Price 100 CNY/tCO₂,shenyang,Shenyang,,辽宁,东北,0.6144,0.0844,0.2098,3.82,True,0.40964750690722534,0.6199452779833592,0.4800052589686735,0.46175738642380604,0.47466422466422464,0.47613992793562954,23,Medium
carbon_pricing,Carbon Price 100 CNY/tCO₂,shenzhen,Shenzhen,,广东,南方,0.7227,0.0427,0.2142,3.3,True,0.6389794945615207,0.3970073336473121,0.6595558912632083,0.5006341102643023,0.5134310134310135,0.55992445633041,11,High
carbon_pricing,Carbon Price 100 CNY/tCO₂,shijiazhuang,Shijiazhuang,,河北,华北,0.5994,0.0884,0.1974,3.68,True,0.5178325354867381,0.9183520599250936,0.5465230907304077,0.5030842952451551,0.517094017094017,0.5673963695421564,5,High
carbon_pricing,Carbon Price 100 CNY/tCO₂,suzhou,Suzhou,,江苏,华东,0.6284,0.0703,0.236,4.22,True,0.44268342985192854,0.2606741573033708,0.13151381139186,0.3646450007344577,0.37606837606837606,0.3218488643450974,36,Low
carbon_pricing,Carbon Price 100 CNY/tCO₂,taiyuan,Taiyuan,,山西,华北,0.5404,0.0884,0.205,4.26,True,0.5376362604488854,0.5447428738029559,0.39701203268276436,0.4313081374494847,0.44505494505494503,0.4647180523900549,26,Medium
carbon_pricing,Carbon Price 100 CNY/tCO₂,tangshan,Tangshan,,河北,华北,0.5994,0.0884,0.2048,3.82,True,0.4840514649108172,0.40158783556482547,0.4716274579079456,0.47311585984497817,0.48534798534798534,0.4711856246525993,25,Medium
carbon_pricing,Carbon Price 100 CNY/tCO₂,tianjin,Tianjin,,天津,华北,0.5784,0.0884,0.2017,3.91,True,0.5308234021603491,0.5627872345197247,0.3960170926634341,0.4716994667495636,0.4865689865689865,0.48306616998157936,21,Medium
carbon_pricing,Carbon Price 100 CNY/tCO₂,urumqi,Urumqi,,新疆,西北,0.4667,0.0667,0.1917,4.63,True,0.4122277365282615,0.46115275067841843,0.2801817085353669,0.42674724065957714,0.4383394383394384,0.39821377728633855,32,Low
carbon_pricing,Carbon Price 100 CNY/tCO₂,wuhan,Wuhan,,湖北,华中,0.6106,0.0526,0.2192,4.03,True,0.448751886671659,0.5534122765704547,0.6664179316618342,0.420666614286739,0.434981684981685,0.5017576378340804,15,Medium
carbon_pricing,Carbon Price 100 CNY/tCO₂,wuxi,Wuxi,,江苏,华东,0.6284,0.0703,0.2146,3.82,True,0.5492704322399466,0.6399031151180784,0.37287407714236986,0.45085325193948067,0.463980463980464,0.48097230372216915,22,Medium
carbon_pricing,Carbon Price 100 CNY/tCO₂,xiamen,Xiamen,,福建,华东,0.6884,0.0703,0.2009,3.25,True,0.685929212467359,0.5386310525017382,0.7258965627868066,0.5355468976849211,0.5509768009768009,0.6174521078415032,2,High
carbon_pricing,Carbon Price 100 CNY/tCO₂,xian,Xian,,陕西,西北,0.5647,0.0667,0.2057,4.09,True,0.4793679302976859,0.21660678642714568,0.71359940872136,0.4456953947795431,0.45940170940170943,0.4921481867762668,17,Medium
carbon_pricing,Carbon Price 100 CNY/tCO₂,xining,Xining,,青海,西北,0.4547,0.0667,0.1803,4.47,True,0.6815910465882917,0.6475511897553208,0.5768317048804853,0.46768215404481217,0.4826007326007326,0.5653218166508611,7,High
carbon_pricing,Carbon Price 100 CNY/tCO₂,yinchuan,Yinchuan,,宁夏,西北,0.5067,0.0667,0.1803,3.99,True,0.611738253985925,0.7982210859180516,0.6235700275334422,0.5127949359996994,0.5283882783882784,0.5970630196473838,3,High
