city,suit_baseline,fdsi_baseline,rank_baseline,suit_cost_reduction,fdsi_cost_reduction,rank_cost_reduction,suit_carbon_pricing,fdsi_carbon_pricing,rank_carbon_pricing,suit_aggressive,fdsi_aggressive,rank_aggressive,delta_grade_cost_reduction,delta_fdsi_cost_reduction,delta_rank_cost_reduction,delta_grade_carbon_pricing,delta_fdsi_carbon_pricing,delta_rank_carbon_pricing,delta_grade_aggressive,delta_fdsi_aggressive,delta_rank_aggressive,name_en,climate_zone,province,grid_region,ef_tco2_mwh
zhengzhou,Medium,0.4446263109267501,26,High,0.621771557437155,27,Medium,0.4583658763553742,28,High,0.6377906356901579,27,1,0.17714524651040486,-1,0,0.01373956542862409,-2,1,0.19316432476340784,-1,Zhengzhou,,河南,华中,0.5257
tangshan,Medium,0.4410878589776286,27,High,0.6236687753626646,25,Medium,0.46711070999369464,26,High,0.6461460198383813,25,1,0.18258091638503604,2,0,0.02602285101606605,1,1,0.20505816086075268,2,Tangshan,,河北,华北,0.8843
nanchang,Low,0.42687432766093714,28,High,0.61002443121873,29,Medium,0.4397906601063645,29,High,0.6258533233465214,29,2,0.18315010355779282,-1,1,0.012916332445427336,-1,2,0.1989789956855843,-1,Nanchang,,江西,华中,0.5257
taiyuan,Low,0.4260401975387399,29,High,0.6208348402968631,28,Medium,0.45969221543088445,27,High,0.6489470180120964,24,2,0.1947946427581232,1,1,0.03365201789214456,2,2,0.22290682047335653,5,Taiyuan,,山西,华北,0.8843
nanning,Low,0.4105031143453094,30,High,0.6032547491873412,30,Low,0.4213301200915693,32,High,0.6183555013945417,30,2,0.19275163484203184,0,0,0.010827005746259888,-2,2,0.20785238704923226,0,Nanning,,广西,南方,0.4267
shanghai,Low,0.40927967930515763,31,High,0.5878176546084144,32,Low,0.4251085714329491,31,High,0.6037416397988116,32,2,0.17853797530325677,-1,0,0.015828892127791483,0,2,0.19446196049365394,-1,Shanghai,,上海,华东,0.7035
hefei,Low,0.40618381133783643,32,High,0.597669369173632,31,Low,0.42574849613118887,30,High,0.6171389609043787,31,2,0.19148555783579557,1,0,0.019564684793352438,2,2,0.21095514956654227,1,Hefei,,安徽,华东,0.7035
urumqi,Low,0.36601158844613646,33,High,0.5613996762629335,34,Low,0.39694123278112836,33,High,0.5909681338193491,33,2,0.19538808781679706,-1,0,0.0309296443349919,0,2,0.22495654537321264,0,Urumqi,,新疆,西北,0.6671
ningbo,Low,0.3614971547268307,34,High,0.562834591617987,33,Low,0.38368912001473005,34,High,0.5844886031105068,34,2,0.2013374368911563,1,0,0.02219196528789935,0,2,0.22299144838367607,0,Ningbo,,浙江,华东,0.7035
fuzhou,Low,0.3230653330667908,35,High,0.5156708071497152,36,Low,0.3397174581777791,36,High,0.5324180253233093,36,2,0.19260547408292444,-1,0,0.01665212511098829,-1,2,0.20935269225651848,-1,Fuzhou,,福建,华东,0.7035
hangzhou,Low,0.3221047368605808,36,High,0.548024831077224,35,Low,0.34720926183084433,35,High,0.5724963091895021,35,2,0.22592009421664322,1,0,0.025104524970263553,1,2,0.25039157232892134,1,Hangzhou,,浙江,华东,0.7035
suzhou,Low,0.2999635256572173,37,High,0.5022320471634343,37,Low,0.32088939722914606,37,High,0.5230628256727573,37,2,0.202268521506217,0,0,0.020925871571928767,0,2,0.22309930001554001,0,Suzhou,,江苏,华东,0.7035
taipei,Low,0.28986195329933084,38,Medium,0.4835839993383052,38,Low,0.3021452388867728,38,High,0.49931779840349094,38,1,0.19372204603897436,0,0,0.012283285587441961,0,2,0.2094558451041601,0,Taipei,,台湾,台湾,0.5
chengdu,Low,0.22841444766756147,39,Medium,0.45982127945533746,40,Low,0.2506064129554608,39,Medium,0.48502089748820665,40,1,0.231406831787776,-1,0,0.02219196528789935,0,1,0.2566064498206452,-1,Chengdu,,四川,华中,0.5257
guiyang,Low,0.209172242794308,40,Medium,0.468476824995923,39,Low,0.23209234800279838,40,High,0.497855096427127,39,1,0.259304582201615,1,0,0.022920105208490388,0,2,0.288682853632819,1,Guiyang,,贵州,南方,0.4267
chongqing,Low,0.07301705576684571,41,Low,0.33816959388702544,41,Low,0.09720325469130668,41,Low,0.36609158547704745,41,0,0.26515253812017975,0,0,0.024186198924460972,0,0,0.29307452971020176,0,Chongqing,,重庆,华中,0.5257
